category,display_name,official_id,source_page_url,source_image_url,local_path,image_format,mime,width,height,bytes,sha256,duplicate_of,status,error
character_avatar,阿罗夏,11163,https://wiki.hoyolab.com/pc/genshin/entry/11163?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/07/b866d5fd9adbd2f66874e54208db1107_7133689933484329253.png,Characters/阿罗夏_11163.png,PNG,image/png,256,256,92907,3168b1f9634fd28fbfd861db960ed099a0e24aadb2a4897035dd1b886059819d,,success,
character_avatar,奥黛塔,11162,https://wiki.hoyolab.com/pc/genshin/entry/11162?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/07/963982ad49601f7de6a5ab1a364989f7_3689152522029267720.png,Characters/奥黛塔_11162.png,PNG,image/png,256,256,89512,3599641cafa7bb97ae4dcffd635dd2eab4c6f9858828ba366a41024232aefd38,,success,
character_avatar,桑多涅,10920,https://wiki.hoyolab.com/pc/genshin/entry/10920?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/06/29/4ee285b198b7bb8dba2a0a63aa9ffc9f_7866102664638374858.png,Characters/桑多涅_10920.png,PNG,image/png,256,256,89731,1ab3c4e05cae5db564a174b815ffad7d8d69c5f26d284ce4d10e1b6b6261bba3,,success,
character_avatar,布伦妮,10624,https://wiki.hoyolab.com/pc/genshin/entry/10624?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/05/19/51e83d3537b37acc3f422910fe5bef82_3083259311239382441.png,Characters/布伦妮_10624.png,PNG,image/png,256,256,96251,7ddb2e9c2de7dfe7f4192189a7211e8da56828837a284089841b8223593555fb,,success,
character_avatar,洛恩,10623,https://wiki.hoyolab.com/pc/genshin/entry/10623?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/06/05/7fced903c930ab16fd333755c1aef7e9_9169127423158726160.png,Characters/洛恩_10623.png,PNG,image/png,256,256,91322,559e0c4b786b5abbc2e87bf91583136a22a59679a0e6eca7569639b0804ad75d,,success,
character_avatar,尼可,10622,https://wiki.hoyolab.com/pc/genshin/entry/10622?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/05/18/5e875ee63bca70ebeda64e6fa409d31b_5921156294699298125.png,Characters/尼可_10622.png,PNG,image/png,256,256,94024,4b3c4f1fc480f3e40280e7d15f671cf1cddd4b0e193b1bf215b2f20bced91c0e,,success,
character_avatar,莉奈娅,10412,https://wiki.hoyolab.com/pc/genshin/entry/10412?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/04/03/b73622caa3750012312c72437295ace3_6973976776946504804.png,Characters/莉奈娅_10412.png,PNG,image/png,256,256,105426,f8f3c5920b5d162324a644634f71d2ea7e67eaed26138a68209587ebcda369f0,,success,
character_avatar,法尔伽,9342,https://wiki.hoyolab.com/pc/genshin/entry/9342?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/02/21/553feb81c3bbc5e3bc69a765e157c33f_8250978205515428490.png,Characters/法尔伽_9342.png,PNG,image/png,256,256,97667,bd6dc5964b1a63f81c12e3717422fa3d4703330974008af6353550ab798e0b89,,success,
character_avatar,叶洛亚,9123,https://wiki.hoyolab.com/pc/genshin/entry/9123?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/01/29/d585407867aa47b4d925613cea9f00c2_5864597966579326880.png,Characters/叶洛亚_9123.png,PNG,image/png,256,256,79170,ce9c7715e3dacca078420d3e0420a6bcabd223359b3ecab263d8103119b918a7,,success,
character_avatar,兹白,9122,https://wiki.hoyolab.com/pc/genshin/entry/9122?lang=zh-cn,https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/01/29/72161f01ff431c9f099710f92c811454_1654176825175164246.png,Characters/兹白_9122.png,PNG,image/png,256,256,93581,1247831177f163bee3a1eb06f3fd4600c7694909ea22226cb4042fa6febf55be,,success,
