"category","weapon_type","artifact_set","display_name","part","official_id","source_page_url","source_image_url","local_path","image_format","mime","width","height","bytes","sha256","duplicate_of","status","error"
"Weapon","Bow","","悬黎千钧","","11221","https://wiki.hoyolab.com/pc/genshin/entry/11221?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/19c80f587430adbfce599f56ef3324dd_4937523743376541205.png","Weapons/Bow/悬黎千钧_11221.png","png","image/png","256","256","51303","803ef0f5182a19d5a084517f7b4779299b406c0814db297989037f67d5a4b20e","","success",""
"Weapon","Bow","","霜雪誓约","","11220","https://wiki.hoyolab.com/pc/genshin/entry/11220?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/71e03a3f1868a9caa8e7adac310ca6a7_6530544918250739118.png","Weapons/Bow/霜雪誓约_11220.png","png","image/png","256","256","50673","93e151a25b731ad84104bd924947e8879c7cc6ea696b6135c7a9a39404b535fa","","success",""
"Weapon","Catalyst","","群王局戏","","11219","https://wiki.hoyolab.com/pc/genshin/entry/11219?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/028d4226ab8c38cbe2e0fcdd3ce128e4_172320011752876507.png","Weapons/Catalyst/群王局戏_11219.png","png","image/png","256","256","47934","a9db302d9d70850683ec18c7cc4ff1680c39d71bd17c6771810ab70bda5a11c5","","success",""
"Weapon","Catalyst","","寸心余响","","11218","https://wiki.hoyolab.com/pc/genshin/entry/11218?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/4f8d41d48cafdb7a77568b7fae43c436_5465649971679004871.png","Weapons/Catalyst/寸心余响_11218.png","png","image/png","256","256","45070","f754e992dec711838fca5b7c565b9202d2c1b7f1e02f9bc05e3368ae7031bd51","","success",""
"Weapon","Polearm","","寒息","","11217","https://wiki.hoyolab.com/pc/genshin/entry/11217?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/6a0eb9b0455f71517ba22556b21814f1_4657577436996434077.png","Weapons/Polearm/寒息_11217.png","png","image/png","256","256","33734","129970be82251daf344e904a90cdc1c06a72d9b05f04fff2b4350e2c1c20834b","","success",""
"Weapon","Polearm","","戍望谣歌","","11216","https://wiki.hoyolab.com/pc/genshin/entry/11216?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/993e369730552558f3a6d11269647d3f_162896007110569426.png","Weapons/Polearm/戍望谣歌_11216.png","png","image/png","256","256","30021","c1b5fda6aeb52d93bfe4ca6c97c65c3280b48c131fa93c13b6f3159aad89e292","","success",""
"Weapon","Claymore","","金律铸影","","11215","https://wiki.hoyolab.com/pc/genshin/entry/11215?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/5238a7b7a630ef9f9d2d789f6a2aa6da_1650019963952327060.png","Weapons/Claymore/金律铸影_11215.png","png","image/png","256","256","56789","10b4907639052b7de14c011053b1c191c2a845c6234d55032f664a347657591f","","success",""
"Weapon","Claymore","","救赎之斩","","11214","https://wiki.hoyolab.com/pc/genshin/entry/11214?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/47b7c05e0d29ef0b8845e3b249fdd800_7183760739047053137.png","Weapons/Claymore/救赎之斩_11214.png","png","image/png","256","256","36763","92937327fd33b404d356471b5ab35a6b061cc42a7be9d53422c932a7997020fe","","success",""
"Weapon","Sword","","熔猎异端之刃","","11213","https://wiki.hoyolab.com/pc/genshin/entry/11213?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/0c0d6535c7c54aa95d58b5394a023cd2_844859417849776738.png","Weapons/Sword/熔猎异端之刃_11213.png","png","image/png","256","256","40868","4396245126ec0273bb1b6cacee89323c3728ff4a763498c13b0faf67c656d785","","success",""
"Weapon","Sword","","引火之源","","11212","https://wiki.hoyolab.com/pc/genshin/entry/11212?lang=zh-cn","https://act-webstatic.hoyoverse.com/event-static-hoyowiki-admin/2026/08/03/9ae260ef2d2f79ddc6e3963513e4cc46_2657429378983343835.png","Weapons/Sword/引火之源_11212.png","png","image/png","256","256","32358","317c30b6595c49de7fe07727c404f15f0135398090d1a9be7fbd9ff7b33c3eb0","","success",""
